True Vp,Est Vp,True Ve,Est Ve,True Ktrans,Est Ktrans,True Kep,Est Kep
0.04414,0.010011,0.22413,0.20015,0.067239,0.05894,0.3,0.29448
0.062687,0.013415,0.61645,0.55707,0.18493,0.16685,0.3,0.29951
0.24573,0.023264,1.1656,1.067,0.34968,0.30633,0.3,0.28709
0.18024,0.018071,0.75529,0.70079,0.22659,0.20537,0.3,0.29306
0.035974,0.029691,1.4815,1.3218,0.44445,0.40507,0.3,0.30645
0.18981,0.031003,1.3269,1.2214,0.39807,0.36209,0.3,0.29645
0.04514,0.040877,1.2175,1.1175,0.36524,0.33251,0.3,0.29754
0.19589,0.04847,0.77745,0.72394,0.23323,0.20295,0.3,0.28035
0.15437,0.048853,1.6275,1.4849,0.48825,0.44074,0.3,0.29682
0.085064,0.05622,0.90635,0.8246,0.2719,0.2407,0.3,0.2919
0.03854,0.062962,0.21548,0.19521,0.064644,0.054596,0.3,0.27968
0.072481,0.079871,1.2561,1.1226,0.37683,0.34235,0.3,0.30496
0.23292,0.07219,0.17332,0.15339,0.051995,0.047868,0.3,0.31208
0.2558,0.070325,1.4214,1.2959,0.42642,0.37964,0.3,0.29295
0.22334,0.08082,1.2485,1.1508,0.37456,0.32482,0.3,0.28227
0.026438,0.097453,1.5,1.3354,0.44999,0.39657,0.3,0.29696
0.049968,0.089767,1.1452,1.0059,0.34356,0.3241,0.3,0.32219
0.18951,0.099038,0.5803,0.52681,0.17409,0.15712,0.3,0.29825
0.018611,0.10816,0.34178,0.31373,0.10253,0.089883,0.3,0.2865
0.27964,0.11178,0.23562,0.20901,0.070686,0.066568,0.3,0.31849
0.053708,0.11194,0.80671,0.70106,0.24201,0.22792,0.3,0.32511
0.28959,0.12824,1.5993,1.4677,0.47978,0.42465,0.3,0.28932
0.29899,0.12757,1.3332,1.2042,0.39996,0.37701,0.3,0.31308
0.1727,0.1279,0.48615,0.45466,0.14584,0.12676,0.3,0.27879
0.083606,0.13839,0.97892,0.89843,0.29368,0.25883,0.3,0.28809
0.18545,0.14379,0.67807,0.59967,0.20342,0.18539,0.3,0.30916
0.073003,0.1411,1.0631,0.9702,0.31893,0.29467,0.3,0.30372
0.069393,0.16317,1.2373,1.1194,0.3712,0.31504,0.3,0.28144
0.13139,0.15286,0.56939,0.54326,0.17082,0.15172,0.3,0.27927
0.25695,0.15844,0.4397,0.4207,0.13191,0.11844,0.3,0.28154
0.16891,0.17429,1.3572,1.2259,0.40717,0.34648,0.3,0.28264
0.070716,0.16905,0.19501,0.1666,0.058502,0.06411,0.3,0.38481
0.016008,0.18233,0.44757,0.40932,0.13427,0.11203,0.3,0.27371
0.21521,0.18714,0.20815,0.19441,0.062445,0.052459,0.3,0.26983
0.11426,0.19202,0.63059,0.59497,0.18918,0.16906,0.3,0.28414
0.28101,0.20331,0.67245,0.59092,0.20173,0.17887,0.3,0.3027
0.21933,0.20318,0.3947,0.35401,0.11841,0.10421,0.3,0.29438
0.16403,0.20874,1.228,1.1664,0.36841,0.32624,0.3,0.27969
0.034318,0.21351,0.26095,0.23259,0.078284,0.067093,0.3,0.28846
0.2442,0.21556,0.4906,0.43185,0.14718,0.13214,0.3,0.30599
0.17915,0.22961,0.74288,0.66786,0.22287,0.19451,0.3,0.29124
0.12441,0.22885,0.57591,0.51709,0.17277,0.15306,0.3,0.296
0.063165,0.24034,1.594,1.5042,0.47821,0.41467,0.3,0.27568
0.27599,0.23468,1.3423,1.2117,0.4027,0.36073,0.3,0.29771
0.2389,0.25725,1.1673,1.0774,0.3502,0.29192,0.3,0.27095
0.013775,0.25188,0.78769,0.68666,0.23631,0.21095,0.3,0.30721
0.19368,0.26062,0.77852,0.69133,0.23355,0.21133,0.3,0.30568
0.14629,0.25422,0.29105,0.27478,0.087316,0.083472,0.3,0.30377
0.20394,0.26944,0.96141,0.85742,0.28842,0.26022,0.3,0.30349
0.097553,0.26449,0.92055,0.79234,0.27616,0.26242,0.3,0.3312
