True Vp,Est Vp,True Ve,Est Ve,True Ktrans,Est Ktrans,True Kep,Est Kep
0.022451,-0.0018386,20.9,8.7098,0.209,0.19988,0.01,0.022949
0.19803,0.016162,7.1657,2.8129,0.071657,0.066225,0.01,0.023543
0.25044,0.027232,12.046,22.572,0.12046,0.10779,0.01,0.0047751
0.031193,0.026664,30.905,-42.295,0.30905,0.26716,0.01,-0.0063166
0.073348,0.025755,31.442,15.432,0.31442,0.29104,0.01,0.01886
0.25023,0.030656,19.15,17.985,0.1915,0.17665,0.01,0.009822
0.096527,0.049659,36.874,149.33,0.36874,0.32814,0.01,0.0021974
0.15015,0.04755,25.505,13.841,0.25505,0.23923,0.01,0.017284
0.15544,0.058481,11.836,71.784,0.11836,0.10446,0.01,0.0014552
0.18491,0.065323,23.702,-91.021,0.23702,0.20833,0.01,-0.0022888
0.29705,0.066207,32.799,51.065,0.32799,0.29805,0.01,0.0058368
0.28296,0.065513,38.833,-24.543,0.38833,0.33556,0.01,-0.013672
0.013957,0.070677,44.263,-514.36,0.44263,0.39568,0.01,-0.00076927
0.043902,0.076772,6.3713,2.9897,0.063713,0.060359,0.01,0.020189
0.07752,0.09171,44.783,15.811,0.44783,0.42218,0.01,0.026701
0.11789,0.08815,18.946,37.859,0.18946,0.16779,0.01,0.004432
0.15876,0.089671,26.451,10.853,0.26451,0.25353,0.01,0.023359
0.012911,0.095763,15.801,16.912,0.15801,0.1428,0.01,0.0084437
0.18993,0.092513,25.771,10.972,0.25771,0.24518,0.01,0.022347
0.17968,0.11727,11.245,-5.703,0.11245,0.095054,0.01,-0.016667
0.084583,0.11548,21.83,7.864,0.2183,0.20857,0.01,0.026522
0.18262,0.12227,7.0883,2.4237,0.070883,0.0682,0.01,0.028139
0.29315,0.12726,23.568,13.228,0.23568,0.2159,0.01,0.016321
0.018988,0.13587,45.399,74.281,0.45399,0.40168,0.01,0.0054075
0.13294,0.13268,22.527,44.64,0.22527,0.20386,0.01,0.0045667
0.011396,0.14566,24.466,-55.739,0.24466,0.21519,0.01,-0.0038607
0.029386,0.1416,43.663,-107.38,0.43663,0.38599,0.01,-0.0035944
0.059663,0.16254,20.618,6.4776,0.20618,0.20115,0.01,0.031053
0.10344,0.15711,18.469,98.911,0.18469,0.16749,0.01,0.0016933
0.2268,0.16581,17.339,-714.15,0.17339,0.1538,0.01,-0.00021536
0.13263,0.14766,38.449,22.636,0.38449,0.35933,0.01,0.015874
0.26348,0.17375,28.218,35.322,0.28218,0.25555,0.01,0.007235
0.25755,0.178,7.7768,4.2439,0.077768,0.073562,0.01,0.017334
0.18577,0.18989,27.116,22.062,0.27116,0.24661,0.01,0.011178
0.10409,0.18872,6.7979,4.0486,0.067979,0.063622,0.01,0.015714
0.23294,0.16627,46.217,17.716,0.46217,0.4399,0.01,0.024831
0.28503,0.20611,15.577,38.394,0.15577,0.13766,0.01,0.0035855
0.10936,0.19885,7.3503,-7.5805,0.073503,0.064777,0.01,-0.0085452
0.034679,0.19913,41.118,17.183,0.41118,0.39818,0.01,0.023172
0.040295,0.2092,18.094,16.058,0.18094,0.16504,0.01,0.010277
0.22021,0.19844,33.273,33.761,0.33273,0.30773,0.01,0.009115
0.18284,0.23438,19.006,-17.792,0.19006,0.16439,0.01,-0.0092396
0.14256,0.22742,20.671,7.598,0.20671,0.20024,0.01,0.026354
0.15111,0.23918,20.867,11.326,0.20867,0.19469,0.01,0.017189
0.2031,0.23857,6.4769,1.3214,0.064769,0.068236,0.01,0.051639
0.13932,0.25598,36.345,33.534,0.36345,0.3317,0.01,0.0098912
0.25197,0.25642,15.859,6.7417,0.15859,0.1524,0.01,0.022605
0.25152,0.26418,37.335,-52.508,0.37335,0.32671,0.01,-0.0062222
0.2985,0.24378,47.653,260.05,0.47653,0.4331,0.01,0.0016655
0.2462,0.28343,36.287,41.229,0.36287,0.33183,0.01,0.0080485
