True Vp,Est Vp,True Ve,Est Ve,True Ktrans,Est Ktrans,True Kep,Est Kep
0.058029,0.006991,1.0072,0.90637,0.20144,0.17771,0.2,0.19607
0.097987,-0.0024103,2.2662,1.9877,0.45324,0.40495,0.2,0.20372
0.22974,0.02195,1.3159,1.16,0.26318,0.23342,0.2,0.20122
0.10963,0.028556,0.83495,0.73322,0.16699,0.14539,0.2,0.19829
0.052903,0.041354,1.9161,1.6452,0.38323,0.34298,0.2,0.20847
0.27496,0.028861,1.2988,1.1895,0.25976,0.2314,0.2,0.19453
0.080051,0.029951,2.1162,1.8292,0.42323,0.38997,0.2,0.21319
0.28449,0.042372,0.43037,0.36114,0.086074,0.080985,0.2,0.22425
0.039156,0.051147,0.42692,0.37901,0.085383,0.076819,0.2,0.20268
0.2837,0.063894,0.59272,0.53804,0.11854,0.09941,0.2,0.18477
0.27614,0.059268,1.1074,0.97251,0.22148,0.19808,0.2,0.20368
0.21862,0.078678,1.6207,1.4599,0.32414,0.28443,0.2,0.19483
0.16083,0.075862,0.61264,0.55204,0.12253,0.10736,0.2,0.19448
0.068551,0.077217,0.60877,0.5411,0.12175,0.10989,0.2,0.20308
0.047288,0.091104,1.1059,1.031,0.22118,0.18592,0.2,0.18033
0.23399,0.084827,0.59867,0.48503,0.11973,0.11638,0.2,0.23994
0.17841,0.096809,1.7593,1.6861,0.35185,0.3018,0.2,0.17899
0.14591,0.1082,1.1093,1.0131,0.22185,0.19062,0.2,0.18815
0.27636,0.10634,0.42656,0.36723,0.085312,0.076902,0.2,0.20941
0.11951,0.1097,2.4161,2.1645,0.48322,0.42034,0.2,0.1942
0.079613,0.10226,1.9576,1.659,0.39152,0.37497,0.2,0.22603
0.028864,0.12103,0.72028,0.63923,0.14406,0.12917,0.2,0.20207
0.091151,0.12417,0.58191,0.48488,0.11638,0.1037,0.2,0.21387
0.27262,0.11847,1.6698,1.313,0.33396,0.33887,0.2,0.25809
0.29022,0.1324,0.51725,0.46446,0.10345,0.092089,0.2,0.19827
0.21743,0.14192,1.7192,1.4691,0.34384,0.30641,0.2,0.20857
0.13467,0.14524,2.1225,1.7762,0.4245,0.40262,0.2,0.22667
0.15127,0.1485,0.4359,0.3836,0.087181,0.080261,0.2,0.20923
0.081906,0.15889,1.7638,1.6083,0.35277,0.30431,0.2,0.18921
0.11522,0.187,2.3013,1.9234,0.46027,0.41574,0.2,0.21615
0.05633,0.16819,0.99884,0.85966,0.19977,0.18242,0.2,0.2122
0.15167,0.165,2.2763,1.9478,0.45526,0.42754,0.2,0.2195
0.015434,0.17633,0.34459,0.30571,0.068918,0.060725,0.2,0.19864
0.19948,0.17053,2.0355,1.6698,0.4071,0.38733,0.2,0.23197
0.034511,0.18825,1.7601,1.3893,0.35202,0.33468,0.2,0.2409
0.10535,0.19153,2.0802,1.902,0.41603,0.37028,0.2,0.19468
0.14686,0.19917,2.1902,1.8611,0.43804,0.40648,0.2,0.21841
0.017697,0.21314,1.8729,1.5748,0.37458,0.34717,0.2,0.22045
0.17987,0.21017,1.2803,1.1054,0.25605,0.23311,0.2,0.21089
0.26094,0.21706,2.433,2.1815,0.4866,0.43109,0.2,0.19761
0.2084,0.21776,0.28343,0.20513,0.056685,0.061347,0.2,0.29906
0.13356,0.23091,2.071,1.7983,0.41419,0.37784,0.2,0.21012
0.091166,0.22894,2.1869,2.0097,0.43738,0.37537,0.2,0.18678
0.29294,0.24063,0.62804,0.51809,0.12561,0.11934,0.2,0.23034
0.2639,0.23884,0.75708,0.59503,0.15142,0.14586,0.2,0.24513
0.28505,0.24303,0.83764,0.72628,0.16753,0.14956,0.2,0.20592
0.19386,0.25804,1.7374,1.4892,0.34748,0.30895,0.2,0.20745
0.13348,0.26221,1.2462,1.1025,0.24924,0.23072,0.2,0.20927
0.016765,0.2662,1.234,1.0564,0.24679,0.2269,0.2,0.21478
0.22852,0.27486,0.89671,0.72937,0.17934,0.16723,0.2,0.22928
