True Vp,Est Vp,True Ve,Est Ve,True Ktrans,Est Ktrans,True Kep,Est Kep,Vp %Err,Ve/Vp ratio
0.28323,0.11487,0.16859,0.15061,0.041147,0.037066,0.24406,0.24611,59.44285563,59.52406172
0.41961,0.43921,0.255,0.22799,0.065231,0.057586,0.25581,0.25259,4.671004028,60.77071566
0.35895,0.024294,0.21862,0.19622,0.056326,0.050447,0.25765,0.2571,93.23192645,60.90541858
0.41161,0.33876,0.25309,0.22245,0.0553,0.049802,0.2185,0.22387,17.69879255,61.48781614
0.28235,0.34931,0.17389,0.15396,0.048529,0.043989,0.27907,0.28573,23.71524703,61.58668319
0.43429,0.25667,0.2792,0.24619,0.079158,0.070834,0.28352,0.28772,40.8989385,64.28883925
0.29006,0.32069,0.18908,0.16778,0.047275,0.042169,0.25003,0.25133,10.55988416,65.18651314
0.33837,0.31785,0.2209,0.18395,0.025009,0.022286,0.11322,0.12115,6.064367408,65.28356533
0.25264,0.03922,0.16522,0.14737,0.04513,0.040845,0.27316,0.27716,84.47593414,65.39740342
0.3995,0.39441,0.26161,0.23129,0.066713,0.059336,0.25501,0.25654,1.274092616,65.48435544
0.35759,0.30744,0.23886,0.21186,0.058279,0.052009,0.24399,0.24549,14.0244414,66.79716994
0.45378,0.1436,0.30324,0.27262,0.067787,0.061175,0.22354,0.22439,68.35470933,66.82533386
0.3396,0.22611,0.22719,0.20246,0.063645,0.056695,0.28014,0.28003,33.41872792,66.89929329
0.14402,0.2616,0.096901,0.085071,0.023873,0.020827,0.24636,0.24481,81.64143869,67.28301625
0.48718,0.188,0.32836,0.29538,0.059715,0.053526,0.18186,0.18121,61.41056694,67.40013958
0.43893,0.096276,0.3016,0.27053,0.038588,0.034361,0.12794,0.12702,78.0657508,68.71255098
0.29605,0.41801,0.20499,0.18041,0.05499,0.049202,0.26825,0.27272,41.19574396,69.24168215
0.20293,0.13541,0.14287,0.12502,0.025849,0.023259,0.18093,0.18605,33.27255704,70.40358744
0.48461,0.25412,0.34186,0.30629,0.098505,0.089027,0.28814,0.29066,47.56195704,70.5433235
0.32286,0.27522,0.22889,0.19938,0.0359,0.03249,0.15685,0.16296,14.75562163,70.89450536
0.21636,0.19304,0.15729,0.1389,0.034216,0.030669,0.21754,0.22081,10.77833241,72.69828064
0.27082,0.27887,0.19693,0.17108,0.031215,0.028158,0.15851,0.16459,2.972454029,72.71619526
0.46181,0.22398,0.34028,0.30122,0.095091,0.085708,0.27945,0.28453,51.49953444,73.68398259
0.32692,0.37256,0.24174,0.21294,0.069612,0.062567,0.28796,0.29382,13.96060198,73.94469595
0.43135,0.079829,0.32008,0.28641,0.075018,0.067248,0.23438,0.23479,81.49321896,74.20424249
0.35997,0.16075,0.26998,0.24073,0.063202,0.056729,0.2341,0.23566,55.34350085,75.0006945
0.45911,0.08736,0.34535,0.30733,0.0877,0.078833,0.25394,0.25651,80.97188038,75.22162445
0.12936,0.17539,0.1004,0.088839,0.028934,0.026415,0.2882,0.29733,35.58286951,77.61286333
0.4838,0.16935,0.37746,0.33812,0.11076,0.099571,0.29345,0.29449,64.99586606,78.01984291
0.30244,0.10726,0.23642,0.20871,0.050507,0.045683,0.21363,0.21888,64.5351144,78.17087687
0.36027,0.29254,0.28181,0.25141,0.07765,0.069281,0.27554,0.27557,18.79978905,78.22188914
0.44569,0.2437,0.35151,0.31289,0.098152,0.088387,0.27923,0.28249,45.32073863,78.86872041
0.48175,0.31347,0.38129,0.3389,0.094895,0.08552,0.24888,0.25235,34.9309808,79.1468604
0.18333,0.20615,0.14662,0.13029,0.037258,0.03336,0.25411,0.25604,12.44749905,79.97599956
0.12096,0.073241,0.097105,0.086803,0.028737,0.025949,0.29594,0.29894,39.45023148,80.2786045
0.48068,0.042963,0.39333,0.35206,0.10559,0.094993,0.26845,0.26982,91.06203711,81.82782724
0.41364,0.036913,0.33942,0.30205,0.02977,0.02674,0.087709,0.088529,91.07605647,82.05686104
0.43838,0.1428,0.3656,0.32532,0.094128,0.085304,0.25746,0.26222,67.42552124,83.39796524
0.39163,0.09476,0.32791,0.29173,0.041245,0.037055,0.12578,0.12702,75.80369226,83.72954064
0.43778,0.028079,0.36728,0.32856,0.055747,0.050121,0.15178,0.15255,93.58604779,83.89602083
0.4322,0.17815,0.36422,0.32623,0.080835,0.072206,0.22194,0.22134,58.7806571,84.27117075
0.44482,0.15063,0.37564,0.3355,0.057146,0.051272,0.15213,0.15282,66.13686435,84.44764174
0.18965,0.24475,0.16117,0.14273,0.027697,0.024561,0.17185,0.17208,29.05351964,84.98286317
0.18761,0.30398,0.15998,0.13743,0.036647,0.033847,0.22908,0.24629,62.02761047,85.27264005
0.17672,0.15426,0.15392,0.13889,0.02089,0.01846,0.13572,0.13292,12.70937076,87.0982345
0.32895,0.049661,0.28694,0.25815,0.067103,0.059867,0.23386,0.23191,84.90317677,87.22906217
0.38021,0.29531,0.35179,0.30784,0.069529,0.063206,0.19765,0.20532,22.32976513,92.52518345
0.37006,0.076306,0.34279,0.30596,0.099847,0.089544,0.29128,0.29266,79.38010052,92.63092471
0.38054,0.092245,0.35832,0.319,0.075371,0.067943,0.21035,0.21299,75.7594471,94.16092921
0.45904,0.40494,0.43269,0.38716,0.12148,0.10757,0.28077,0.27784,11.78546532,94.2597595
0.44275,0.33064,0.41776,0.37212,0.11035,0.099358,0.26414,0.267,25.32128741,94.35573123
0.34248,0.43409,0.32403,0.28773,0.092242,0.082989,0.28467,0.28843,26.74900724,94.61282411
0.4473,0.17287,0.42734,0.38245,0.10838,0.097637,0.25361,0.25529,61.3525598,95.53767047
0.44581,0.23356,0.43233,0.37985,0.091742,0.083188,0.2122,0.219,47.60996837,96.97629035
0.45725,0.36127,0.44723,0.39705,0.12083,0.10934,0.27018,0.27537,20.9907053,97.8086386
0.36426,0.064965,0.35629,0.31797,0.04762,0.042648,0.13366,0.13413,82.16521166,97.81200242
0.38831,0.1274,0.38389,0.34271,0.068516,0.061514,0.17848,0.17949,67.1911617,98.86173418
0.37578,0.40553,0.37284,0.32525,0.086008,0.078609,0.23068,0.24169,7.916866252,99.21762734
0.41794,0.30371,0.42625,0.3813,0.088319,0.07859,0.2072,0.20611,27.3316744,101.9883237
0.35709,0.12507,0.36451,0.32091,0.075079,0.068096,0.20597,0.2122,64.97521633,102.0779075
0.31847,0.2523,0.32689,0.29016,0.093101,0.084743,0.28481,0.29206,20.77746727,102.6438911
0.10048,0.23994,0.10354,0.091123,0.029271,0.025806,0.28271,0.2832,138.7937898,103.0453822
0.27345,0.42554,0.28545,0.24583,0.055732,0.050617,0.19524,0.2059,55.61894313,104.3883708
0.32402,0.43476,0.33881,0.31026,0.042354,0.037303,0.12501,0.12023,34.17690266,104.5645331
0.26346,0.12419,0.27616,0.24722,0.068141,0.060744,0.24674,0.24571,52.86191452,104.8204661
0.15577,0.40098,0.16705,0.13608,0.023941,0.021955,0.14332,0.16134,157.4179881,107.2414457
0.42066,0.39942,0.45411,0.39788,0.085481,0.077531,0.18824,0.19486,5.049208387,107.95179
0.19226,0.44173,0.20924,0.18647,0.053327,0.047735,0.25486,0.25599,129.7565796,108.8317903
0.38611,0.041651,0.42049,0.37695,0.11972,0.10744,0.2847,0.28502,89.2126596,108.9041983
0.31835,0.2968,0.35804,0.31803,0.07525,0.067469,0.21017,0.21215,6.769279095,112.4674101
0.45935,0.1571,0.521,0.46818,0.069787,0.062181,0.13395,0.13281,65.79949929,113.4211386
0.4383,0.24242,0.50322,0.45039,0.14388,0.12918,0.28591,0.28683,44.69085102,114.8117728
0.36746,0.37351,0.42274,0.37967,0.11383,0.10157,0.26927,0.26753,1.646437708,115.0438143
0.12479,0.31597,0.14424,0.12661,0.039014,0.035195,0.27047,0.27798,153.2013783,115.5861848
0.37635,0.1983,0.43576,0.38156,0.098389,0.089169,0.22579,0.23369,47.30968513,115.7858377
0.35426,0.13148,0.41347,0.36718,0.092349,0.083316,0.22335,0.22691,62.88601592,116.7137131
0.40307,0.16178,0.47675,0.42197,0.10263,0.092714,0.21528,0.21972,59.86305108,118.2797033
0.33563,0.34656,0.39786,0.35543,0.086247,0.077562,0.21678,0.21822,3.256562286,118.5412508
0.29449,0.26642,0.35305,0.3136,0.10202,0.092104,0.28898,0.2937,9.531732826,119.8852253
0.35466,0.3539,0.43486,0.38872,0.12735,0.11373,0.29286,0.29258,0.214289742,122.613207
0.37394,0.33166,0.45891,0.40768,0.12436,0.11249,0.271,0.27593,11.30662673,122.7228967
0.32906,0.23507,0.40525,0.3615,0.052021,0.046418,0.12837,0.1284,28.56317997,123.1538321
0.41952,0.090254,0.5194,0.46178,0.088523,0.079335,0.17043,0.1718,78.48636537,123.8081617
0.39437,0.26841,0.48827,0.43625,0.12618,0.11344,0.25842,0.26004,31.93954915,123.8101275
0.25715,0.17048,0.31905,0.28531,0.089102,0.080178,0.27928,0.28102,33.70406378,124.0715536
0.42913,0.14645,0.54986,0.46309,0.021639,0.019525,0.039354,0.042163,65.87281243,128.1336658
0.29435,0.21078,0.37968,0.33637,0.032321,0.028941,0.085128,0.086042,28.39137082,128.9892985
0.39897,0.17645,0.51877,0.4624,0.13938,0.12535,0.26868,0.27108,55.77361706,130.0273203
0.23578,0.044484,0.30962,0.27618,0.091701,0.082782,0.29617,0.29974,81.13325982,131.3173297
0.26171,0.3256,0.34574,0.3034,0.096471,0.088768,0.27903,0.29258,24.41251767,132.1080585
0.41688,0.050612,0.55242,0.49628,0.10627,0.09546,0.19237,0.19235,87.85933602,132.5129534
0.26168,0.38814,0.3469,0.29359,0.047511,0.043526,0.13696,0.14825,48.32619994,132.5664934
0.22509,0.28126,0.29922,0.25823,0.033207,0.03007,0.11098,0.11644,24.95446266,132.9334933
0.25654,0.36923,0.35083,0.30938,0.1034,0.094606,0.29474,0.3058,43.926873,136.7545022
0.26,0.1805,0.35559,0.32335,0.048696,0.04328,0.13694,0.13385,30.57692308,136.7653846
0.22421,0.059729,0.30709,0.27433,0.071321,0.06387,0.23225,0.23282,73.36024263,136.965345
0.38961,0.22803,0.53662,0.43549,0.038939,0.035694,0.072564,0.081964,41.47224147,137.7326044
0.30906,0.13952,0.43298,0.3865,0.11739,0.10544,0.27112,0.27282,54.85666214,140.0957743
0.23432,0.066124,0.33147,0.29668,0.096665,0.086846,0.29163,0.29272,71.78047115,141.460396
0.26593,0.060736,0.37708,0.33604,0.056204,0.050702,0.14905,0.15088,77.16090701,141.7967134
0.32497,0.34432,0.46511,0.41003,0.10622,0.096664,0.22839,0.23575,5.95439579,143.1239807
0.3792,0.38019,0.55971,0.49641,0.047075,0.041663,0.084106,0.083929,0.261075949,147.6028481
0.29434,0.36525,0.43515,0.38404,0.080888,0.073883,0.18589,0.19238,24.09118706,147.8392335
0.21741,0.38376,0.32294,0.27145,0.041108,0.037333,0.12729,0.13753,76.51441976,148.5396256
0.17197,0.11108,0.259,0.22906,0.033337,0.029935,0.12871,0.13068,35.40733849,150.6076641
0.15627,0.1191,0.23889,0.21345,0.057212,0.051189,0.23949,0.23982,23.78575542,152.8700326
0.28966,0.078823,0.44534,0.40212,0.0899,0.080186,0.20187,0.19941,72.78775116,153.7457709
0.36143,0.214,0.56957,0.50911,0.16246,0.1453,0.28523,0.2854,40.79074786,157.5879147
0.35759,0.074972,0.57107,0.51086,0.16171,0.14545,0.28318,0.2847,79.03408932,159.699656
0.35848,0.27161,0.57543,0.51285,0.15361,0.13851,0.26696,0.27008,24.23287213,160.5194153
0.32641,0.077664,0.52921,0.47304,0.10754,0.09652,0.20321,0.20404,76.20661132,162.1304494
0.35522,0.38102,0.57699,0.51603,0.16107,0.14505,0.27915,0.28109,7.263104555,162.4317324
0.34259,0.43019,0.55753,0.48343,0.092832,0.084588,0.16651,0.17498,25.56992323,162.739718
0.077818,0.097293,0.12816,0.11231,0.023618,0.021386,0.18429,0.19041,25.02634352,164.6919736
0.37199,0.1798,0.61399,0.54656,0.17709,0.15966,0.28843,0.29212,51.66536735,165.0555122
0.29194,0.10643,0.48714,0.43276,0.14152,0.12724,0.29052,0.29402,63.54387888,166.8630541
0.31986,0.20377,0.53528,0.47584,0.084236,0.075432,0.15737,0.15852,36.29400363,167.3482148
0.33093,0.05423,0.55915,0.50067,0.12395,0.11078,0.22168,0.22126,83.61284864,168.9632249
0.18585,0.2511,0.31543,0.28091,0.079976,0.072281,0.25355,0.25731,35.10895884,169.7228948
0.26244,0.09117,0.44779,0.40222,0.079096,0.070743,0.17664,0.17588,65.260631,170.6256668
0.34377,0.30866,0.58746,0.52222,0.14619,0.13163,0.24885,0.25205,10.21322396,170.887512
0.12199,0.05436,0.21083,0.18804,0.045668,0.041038,0.21661,0.21824,55.43897041,172.8256414
0.3607,0.35678,0.62591,0.55924,0.15827,0.14297,0.25286,0.25565,1.086775714,173.5264763
0.30672,0.099917,0.53374,0.48117,0.062788,0.056337,0.11764,0.11708,67.42403495,174.0153886
0.34368,0.10155,0.59857,0.53591,0.14772,0.13239,0.24678,0.24704,70.4521648,174.1649209
0.32845,0.21969,0.57907,0.51191,0.10895,0.098525,0.18815,0.19247,33.11310702,176.3038514
0.27917,0.1307,0.49925,0.44608,0.11098,0.099385,0.22229,0.22279,53.18264857,178.8336856
0.35105,0.25995,0.63317,0.56815,0.17949,0.16101,0.28349,0.2834,25.95071927,180.3646204
0.15612,0.19707,0.28432,0.25702,0.081645,0.072877,0.28717,0.28355,26.22982321,182.1163208
0.28945,0.04718,0.53448,0.47725,0.1498,0.13439,0.28027,0.28159,83.70012092,184.6536535
0.31383,0.2267,0.59287,0.51772,0.068619,0.062173,0.11574,0.12009,27.7634388,188.9143804
0.27368,0.015709,0.51782,0.46301,0.11536,0.10345,0.22279,0.22343,94.26008477,189.2063724
0.1695,0.31696,0.32119,0.2854,0.08942,0.080094,0.2784,0.28064,86.99705015,189.4926254
0.31913,0.11978,0.609,0.53699,0.062089,0.055873,0.10195,0.10405,62.46670636,190.8313227
0.21139,0.18674,0.4047,0.36217,0.099918,0.089707,0.2469,0.24769,11.66091111,191.4470883
0.201,0.014543,0.38583,0.34546,0.10533,0.094259,0.27298,0.27285,92.76467662,191.9552239
0.2736,0.058004,0.52635,0.47118,0.14095,0.12726,0.26779,0.27009,78.7997076,192.379386
0.32769,0.25453,0.64039,0.57534,0.17293,0.15438,0.27004,0.26832,22.32597882,195.4255546
0.30652,0.22286,0.60224,0.5382,0.17586,0.15839,0.29201,0.2943,27.29348819,196.4765758
0.24719,0.28855,0.48801,0.4376,0.13113,0.11695,0.26869,0.26725,16.73206845,197.4230349
0.25488,0.26309,0.50387,0.44878,0.1477,0.13277,0.29313,0.29585,3.221123666,197.6891086
0.22407,0.20225,0.44772,0.39696,0.063117,0.056694,0.14098,0.14282,9.738028295,199.8125586
0.31623,0.423,0.63286,0.55496,0.15649,0.14213,0.24728,0.25611,33.76340006,200.1264902
0.11522,0.26842,0.23642,0.20472,0.045754,0.042224,0.19353,0.20625,132.9630273,205.1900712
