BATfinal,VpFinal,KtransFinal,Kepfinal,VeFinal,RSSFinal,RSS0,RSS1,RSS2,RSS3,F1v0,F2v1,F3v2,BAT1,Vp1,BAT2,Vp2,Ktrans2,BAT3,Vp3,Ktrans3,Kep3,Ve3,WhichModel,TProb1,TProb2,TProb3,TProbFinal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.9176,0.00042702,0.00045899,0.13408,0.0034232,7.9012e-08,5.2789e-06,1.2535e-06,4.9968e-07,7.9012e-08,1,1,1,4,0.0014009,4,0.0010395,0.00011805,10,0.00042702,0.00045899,0.13408,0.0034232,4,0.99775,0.98823,0.9853,0.9853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTCs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.095881,0.19176,0.28764,0.38352,0.4794,0.57528,0.67117,0.76705,0.86293,0.95881,1.0547,1.1506,1.2465,1.3423,1.4382,1.5341,1.63,1.7259,1.8217,1.9176,2.0135,2.1094,2.2053,2.3011,2.397,2.4929,2.5888,2.6847,2.7805,2.8764,2.9723,3.0682,3.1641,3.2599,3.3558,3.4517,3.5476,3.6435,3.7394,3.8352,3.9311,4.027,4.1229,4.2188,4.3146,4.4105,4.5064,4.6023,4.6982,4.794,4.8899,4.9858,5.0817,5.1776,5.2734,5.3693,5.4652,5.5611,5.657,6.8667,14.7,19.75,24.7333,31.2333,36.7
2.4059e-05,-1.5996e-05,-2.1321e-05,-8.0025e-06,-1.5996e-05,3.7458e-05,2.1382e-05,0.00011294,0.00016459,0.00010211,0.00022485,0.0001428,0.00017005,0.00025515,0.00020562,0.00020837,0.00017278,0.00020562,0.00022485,0.00019466,0.00018918,0.0002331,0.00020562,0.0002939,0.00018645,0.0002939,0.00025239,0.00026068,0.0002939,0.00024963,0.00029945,0.00020837,0.00030223,0.00022485,0.00027173,0.0003496,0.0002939,0.00030501,0.00028004,0.00033006,0.00035799,0.0003496,0.0003804,0.00029668,0.00034122,0.00036919,0.00028281,0.00035519,0.00030779,0.0003217,0.00035799,0.00035239,0.00031613,0.00033774,0.00032727,0.00035519,0.00037479,0.00036078,0.00033006,0.00041697,0.00042826,0.00046222,0.00043391,0.00036919,0.00033284,0.00036078
