BATfinal,VpFinal,KtransFinal,Kepfinal,VeFinal,RSSFinal,RSS0,RSS1,RSS2,RSS3,F1v0,F2v1,F3v2,BAT1,Vp1,BAT2,Vp2,Ktrans2,BAT3,Vp3,Ktrans3,Kep3,Ve3,WhichModel,TProb1,TProb2,TProb3,TProbFinal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.001112,0.00098559,0.15592,0.0063213,2.32E-07,2.46E-05,5.08E-06,2.16E-06,2.32E-07,1,1,1,1,0.0030843,1,0.0023751,0.00023287,1,0.001112,0.00098559,0.15592,0.0063213,4,0.96008,0.93703,0.83481,0.83481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.0011004,0.0017795,0.48022,0.0037056,1.95E-07,2.57E-05,3.36E-06,2.53E-06,1.95E-07,1,0.99997,1,1,0.003304,1,0.002926,0.00012409,1,0.0011004,0.0017795,0.48022,0.0037056,4,0.89748,0.88538,0.70957,0.70957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.0012811,0.0015022,0.36478,0.004118,2.58E-07,2.81E-05,3.88E-06,2.61E-06,2.58E-07,1,1,1,1,0.0034368,1,0.0029698,0.00015334,1,0.0012811,0.0015022,0.36478,0.004118,4,0.93041,0.91715,0.80807,0.80807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.00078165,0.00086016,0.24326,0.003536,8.23E-08,1.26E-05,2.17E-06,1.22E-06,8.23E-08,1,1,1,1,0.002258,1,0.0018557,0.00013209,1,0.00078165,0.00086016,0.24326,0.003536,4,0.97022,0.96313,0.92887,0.92887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.00050081,0.00062367,0.17826,0.0034987,1.39E-07,7.93E-06,1.88E-06,8.92E-07,1.39E-07,1,1,1,1,0.0017173,1,0.0013044,0.00013556,1,0.00050081,0.00062367,0.17826,0.0034987,4,0.96099,0.94454,0.91021,0.91021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.001286,0.0010902,0.39269,0.0027762,1.60E-07,1.78E-05,1.80E-06,1.27E-06,1.60E-07,1,1,1,1,0.0027909,1,0.0024896,9.89E-05,1,0.001286,0.0010902,0.39269,0.0027762,4,0.89879,0.88043,0.73258,0.73258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.2734,0.00042311,0.00035721,0.13545,0.0026371,9.34E-08,3.63E-06,8.27E-07,3.41E-07,9.34E-08,1,1,1,1,0.0011702,1,0.00088134,9.49E-05,3,0.00042311,0.00035721,0.13545,0.0026371,4,0.9881,0.98592,0.99118,0.99118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.00070369,0.00062894,0.29361,0.0021421,9.35E-08,6.95E-06,9.70E-07,6.34E-07,9.35E-08,1,1,1,1,0.0017075,1,0.0014672,7.89E-05,1,0.00070369,0.00062894,0.29361,0.0021421,4,0.93799,0.92509,0.85918,0.85918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.00066948,0.00099568,0.49219,0.002023,1.26E-07,8.50E-06,1.09E-06,8.22E-07,1.26E-07,1,0.99997,1,1,0.0019007,1,0.0016858,7.05E-05,1,0.00066948,0.00099568,0.49219,0.002023,4,0.91584,0.90637,0.86379,0.86379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.2323,0.0010046,0.00040794,0.077686,0.0052511,5.66E-08,9.81E-06,1.86E-06,3.68E-07,5.66E-08,1,1,1,1,0.0019696,1,0.0014633,0.00016625,1,0.0010046,0.00040794,0.077686,0.0052511,4,0.96528,0.8977,0.71922,0.71922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
