68,,,,,,,,,,TRUE,,
VP,KTRANS,KEP ,,,,,,,,VP,KTRANS,KEP 
0.0016367,0.0016954,0.0019465,0.0012232,0.0012443,0.001464,2,,,,,,
0.0015485,0.0016375,0.0017676,0.0018504,0.0020267,0.0015721,2,,,,,,
0.0013413,0.0015242,0.0017933,0.001203,0.0013527,0.0013191,2,,,,,,
0.0012695,0.0013147,0.001458,0.0016467,0.0011529,0.0011111,2,,,,,,
0.0008331,0.00087269,0.0010391,0.00069807,0.00063189,0.00059494,2,,,,,,
0.0019484,0.0021093,0.0014605,0.001621,0.0017184,0.0018125,2,,,,,,
0.0014383,0.0015636,0.0012034,0.0011602,0.0012176,0.0012917,2,,,,,,
0.0016627,0.001757,0.0019874,0.0013998,0.0014006,0.0015181,2,,,,,,
0.001411,0.0014676,0.0017433,0.0012266,0.0012013,0.0012229,2,,,,,,
0.0011499,0.0012367,0.00099048,0.0010005,0.00096798,0.00093643,2,,,,,,
0.0011652,0.0011893,0.001318,0.0010671,0.0010649,0.0010203,2,,,,,,
0.00079995,0.00075847,0.0010105,0.0011254,0.00064149,0.00062212,2,,,,,,
0.00072965,0.00071097,0.00086604,0.00095914,0.00060123,0.00055771,2,,,,,,
0.0011689,0.0012318,0.0014503,0.00098929,0.00096064,0.0009584,2,,,,,,
0.0024592,0.0025341,0.0021482,0.0021305,0.00242,0.0027036,2,,,,,,
0.0011622,0.0011385,0.0012855,0.0010403,0.0010436,0.0010314,3,,,,,,
0.00088675,0.00096523,0.0010591,0.00077124,0.00074242,0.00071255,3,,,,,,
0.00097066,0.00054089,0.0006386,0.000698,0.00074125,0.0007859,3,,,,,,
0.0023248,0.0024004,0.002539,0.0026705,0.0022306,0.0022069,3,,,,,,
0.001428,0.0014931,0.001669,0.0012141,0.0012645,0.0014245,3,,,,,,
0.0017069,0.0017992,0.0019764,0.002077,0.0016454,0.0016989,3,,,,,,
0.0008517,0.0010194,0.00045384,0.00042782,0.000423,0.00051517,3,,,,,,
0.0018612,0.0020972,0.0013487,0.0014548,0.0015692,0.0016909,3,,,,,,
0.0021857,0.0015192,0.0014894,0.0016754,0.0019652,0.0022768,3,,,,,,
0.001113,0.0011711,0.0012241,0.0010446,0.0010399,0.0010126,3,,,,,,
0.0009251,0.0010439,0.00068893,0.00068434,0.00068939,0.00069803,3,,,,,,
0.00058644,0.00066104,0.00078394,0.00044744,0.00042716,0.00040769,3,,,,,,
0.0010104,0.001081,0.00080591,0.0008736,0.00087507,0.0008785,3,,,,,,
0.00065149,0.00076379,0.00050426,0.00049409,0.00048398,0.00050988,3,,,,,,
0.0022097,0.0022384,0.0018423,0.0018062,0.0018204,0.0018716,3,,,,,,
0.0024662,0.0025292,0.0027259,0.002998,0.0020775,0.0021386,3,,,,,,
0.0016671,0.0019188,0.0021726,0.0015235,0.0015623,0.0016271,3,,,,,,
0.0012597,0.0014071,0.0028923,0.0031229,0.003255,0.0036255,4,,,,,,
0.002569,0.0027013,0.0020984,0.0020422,0.0020291,0.0020221,4,,,,,,
0.0018317,0.0020002,0.002272,0.0024919,0.0026583,0.0029757,4,,,,,,
0.00086294,0.00099122,0.00061102,0.00059718,0.00072361,0.00088831,4,,,,,,
0.00092532,0.00099083,0.0010673,0.00083288,0.00081816,0.00079798,4,,,,,,
0.001011,0.0010673,0.00077178,0.00078119,0.00082602,0.00082847,4,,,,,,
0.0018669,0.0010334,0.0010078,0.00094926,0.00094421,0.00095019,4,,,,,,
0.0018162,0.00095521,0.00095406,0.0010753,0.0011772,0.0011652,4,,,,,,
0.002206,0.0014119,0.0014371,0.0015065,0.0015475,0.0015477,4,,,,,,
0.0025885,0.0026698,0.0021211,0.0021022,0.0021457,0.0022603,4,,,,,,
0.0018787,0.0019871,0.0015258,0.0015471,0.0015398,0.001533,4,,,,,,
0.001977,0.0020282,0.0015631,0.0015415,0.0015574,0.0016706,4,,,,,,
0.00082369,0.00095453,0.0010401,0.0010667,0.0010635,0.0010505,4,,,,,,
0.00094457,0.0011627,0.0012331,0.0012845,0.0013856,0.001412,4,,,,,,
0.0019843,0.0021639,0.0013806,0.0013773,0.0014534,0.001547,4,,,,,,
0.0017463,0.0019574,0.0012048,0.0012084,0.0012906,0.0015885,4,,,,,,
0.0020785,0.0022291,0.0016782,0.0016665,0.0016652,0.0016972,4,,,,,,
,,,,,,,,,,,,
KTRANS,,,,,,,,,,,,
0.00047595,0.0004335,0.00041316,0.00036862,0.00050979,0.00057841,,1,,,,,
0.00036504,0.0003487,0.0003037,0.00048512,0.00050598,0.00046929,,1,,,,,
0.00033268,0.0002943,0.00025535,0.00047008,0.00019442,0.00029602,,1,,,,,
0.00031167,0.00030985,0.00026687,0.00025087,0.0002248,0.00036878,,1,,,,,
0.00025178,0.00023263,0.00022182,0.00019533,0.0003092,0.0003341,,1,,,,,
0.00037359,0.00034321,0.00031568,0.00025525,0.00044755,0.00045307,,1,,,,,
0.00043179,0.00039763,0.00038225,0.00033906,0.00054292,0.00056659,,1,,,,,
0.00054308,0.00050205,0.00046962,0.00064844,0.00068083,0.0006603,,1,,,,,
0.0006103,0.00057318,0.00058251,0.00045965,0.00078265,0.00081243,,1,,,,,
0.00081005,0.00076858,0.00068539,0.0010072,0.001126,0.0011568,,1,,,,,
0.00059878,0.00056503,0.00052668,0.00044274,0.00076059,0.00077724,,1,,,,,
0.00058905,0.00058291,0.00052609,0.00046598,0.00074647,0.00080071,,1,,,,,
0.00043802,0.00039061,0.00035401,0.00056278,0.0005514,0.00055235,,1,,,,,
