True Vp,Est Vp,True Ve,Est Ve,True Ktrans,Est Ktrans,True Kep,Est Kep,Vp %Err,Ktrans %Err,Kep %Err
0.10482,0.096437,14.123,12.587,0.14123,0.12656,0.01,0.010055,8.00,10.39,0.55
0.049444,0.043348,44.694,40.576,0.44694,0.40117,0.01,0.0098869,12.33,10.24,1.13
0.14577,0.13588,38.637,35.208,0.38637,0.34623,0.01,0.0098339,6.78,10.39,1.66
0.20672,0.18955,28.995,26.671,0.28995,0.25978,0.01,0.0097402,8.31,10.41,2.60
0.12215,0.1103,26.806,23.289,0.26806,0.24203,0.01,0.010393,9.70,9.71,3.93
0.19018,0.17121,18.785,17.796,0.18785,0.16874,0.01,0.0094815,9.97,10.17,5.19
0.016191,0.015184,37.493,34.04,0.37493,0.33747,0.01,0.009914,6.22,9.99,0.86
0.12303,0.11247,18.453,18.072,0.18453,0.16483,0.01,0.0091205,8.58,10.68,8.80
0.048429,0.042026,11.45,10.465,0.1145,0.1025,0.01,0.0097937,13.22,10.48,2.06
0.28572,0.26175,43.693,42.758,0.43693,0.38913,0.01,0.0091006,8.39,10.94,8.99
0.21618,0.19133,33.841,30.733,0.33841,0.30437,0.01,0.0099035,11.50,10.06,0.96
0.18752,0.1714,30.879,26.71,0.30879,0.27856,0.01,0.010429,8.60,9.79,4.29
0.095337,0.092487,36.564,33.174,0.36564,0.32784,0.01,0.0098824,2.99,10.34,1.18
0.23573,0.21588,40.146,38.273,0.40146,0.35795,0.01,0.0093526,8.42,10.84,6.47
0.084768,0.076851,19.497,17.221,0.19497,0.17529,0.01,0.010179,9.34,10.09,1.79
0.24653,0.2206,32.165,30.227,0.32165,0.28814,0.01,0.0095326,10.52,10.42,4.67
0.052254,0.050523,34.454,35.007,0.34454,0.30528,0.01,0.0087206,3.31,11.39,12.79
0.25388,0.22808,25.036,21.072,0.25036,0.22606,0.01,0.010728,10.16,9.71,7.28
0.18426,0.16709,9.4447,8.2589,0.094447,0.08491,0.01,0.010281,9.32,10.10,2.81
0.017995,0.017745,45.005,43.12,0.45005,0.40237,0.01,0.0093314,1.39,10.59,6.69
0.10804,0.098138,9.5768,8.4906,0.095768,0.086397,0.01,0.010176,9.17,9.79,1.76
0.014735,0.012404,30.949,28.658,0.30949,0.27658,0.01,0.0096512,15.82,10.63,3.49
0.12474,0.11285,32.24,27.817,0.3224,0.29135,0.01,0.010474,9.53,9.63,4.74
0.095399,0.084,47.614,41.551,0.47614,0.42792,0.01,0.010299,11.95,10.13,2.99
0.20658,0.18623,10.063,9.398,0.10063,0.090056,0.01,0.0095825,9.85,10.51,4.17
0.17915,0.15924,24.302,22.839,0.24302,0.21746,0.01,0.0095215,11.11,10.52,4.79
