True Vp,Est Vp,True Ve,Est Ve,True Ktrans,Est Ktrans,True Kep,Est Kep,Vp %Err,Ktrans %Err,Kep %Err
0.10482,0.094221,14.123,14.472,0.14123,0.1264,0.01,0.008734,10.11,10.50,12.66
0.049444,0.04487,44.694,52.395,0.44694,0.40059,0.01,0.0076456,9.25,10.37,23.54
0.14577,0.13363,38.637,45.319,0.38637,0.34238,0.01,0.0075549,8.33,11.39,24.45
0.20672,0.18119,28.995,26.081,0.28995,0.26073,0.01,0.009997,12.35,10.08,0.03
0.12215,0.10975,26.806,17.772,0.26806,0.2427,0.01,0.013656,10.15,9.46,36.56
0.19018,0.17059,18.785,11.744,0.18785,0.17085,0.01,0.014547,10.30,9.05,45.47
0.016191,0.013308,37.493,38.5,0.37493,0.33502,0.01,0.0087019,17.81,10.64,12.98
0.12303,0.11089,18.453,18.691,0.18453,0.16642,0.01,0.0089036,9.87,9.81,10.96
0.048429,0.043354,11.45,8.1859,0.1145,0.10382,0.01,0.012682,10.48,9.33,26.82
0.28572,0.25986,43.693,34.817,0.43693,0.39394,0.01,0.011315,9.05,9.84,13.15
0.21618,0.19454,33.841,53.681,0.33841,0.30175,0.01,0.0056212,10.01,10.83,43.79
0.18752,0.16728,30.879,24.046,0.30879,0.27885,0.01,0.011596,10.79,9.70,15.96
0.095337,0.085587,36.564,21.067,0.36564,0.33467,0.01,0.015886,10.23,8.47,58.86
0.23573,0.21656,40.146,26.119,0.40146,0.36201,0.01,0.01386,8.13,9.83,38.60
0.084768,0.07766,19.497,47.437,0.19497,0.17193,0.01,0.0036244,8.39,11.82,63.76
0.24653,0.2219,32.165,28.632,0.32165,0.28917,0.01,0.010099,9.99,10.10,0.99
0.052254,0.048071,34.454,40.051,0.34454,0.30772,0.01,0.0076832,8.01,10.69,23.17
0.25388,0.23014,25.036,40.198,0.25036,0.22016,0.01,0.005477,9.35,12.06,45.23
0.18426,0.16497,9.4447,9.0704,0.094447,0.084242,0.01,0.0092876,10.47,10.81,7.12
0.017995,0.013015,45.005,27.523,0.45005,0.41103,0.01,0.014934,27.67,8.67,49.34
0.10804,0.095991,9.5768,20.671,0.095768,0.085025,0.01,0.0041134,11.15,11.22,58.87
0.014735,0.01804,30.949,28.507,0.30949,0.27713,0.01,0.0097213,22.43,10.46,2.79
0.12474,0.11135,32.24,26.771,0.3224,0.29268,0.01,0.010933,10.73,9.22,9.33
0.095399,0.086345,47.614,38.275,0.47614,0.42881,0.01,0.011204,9.49,9.94,12.04
0.20658,0.18445,10.063,5.6096,0.10063,0.091896,0.01,0.016382,10.71,8.68,63.82
0.17915,0.16519,24.302,17.674,0.24302,0.21781,0.01,0.012324,7.79,10.37,23.24
0.015991,0.012347,28.427,19.151,0.28427,0.25853,0.01,0.013499,22.79,9.05,34.99
0.14829,0.13372,20.761,20.462,0.20761,0.18517,0.01,0.0090492,9.83,10.81,9.51
0.098439,0.088918,5.3795,15.409,0.053795,0.047186,0.01,0.0030623,9.67,12.29,69.38
0.11705,0.10403,32.288,23.768,0.32288,0.29203,0.01,0.012287,11.12,9.55,22.87
0.20872,0.18241,45.876,65.7,0.45876,0.40874,0.01,0.0062214,12.61,10.90,37.79
0.018563,0.013813,21.368,14.2,0.21368,0.19331,0.01,0.013614,25.59,9.53,36.14
0.036749,0.029622,30.88,23.222,0.3088,0.2792,0.01,0.012023,19.39,9.59,20.23
