True Vp,Est Vp,True Ve,Est Ve,True Ktrans,Est Ktrans,True Kep,Est Kep,Vp %Err,Ktrans %Err,Kep %Err
0.10482,0.092624,14.123,9.3028,0.14123,0.12773,0.01,0.01373,11.64,9.56,37.30
0.049444,0.044148,44.694,25.229,0.44694,0.40484,0.01,0.016047,10.71,9.42,60.47
0.14577,0.1347,38.637,18.004,0.38637,0.35433,0.01,0.019681,7.59,8.29,96.81
0.20672,0.18487,28.995,9.8872,0.28995,0.26965,0.01,0.027272,10.57,7.00,172.72
0.12215,0.11161,26.806,15.326,0.26806,0.24283,0.01,0.015844,8.63,9.41,58.44
0.19018,0.17214,18.785,9.761,0.18785,0.16989,0.01,0.017405,9.49,9.56,74.05
0.016191,0.015669,37.493,18.683,0.37493,0.342,0.01,0.018305,3.22,8.78,83.05
0.12303,0.112,18.453,226.53,0.18453,0.16173,0.01,0.00071394,8.97,12.36,92.86
0.048429,0.04252,11.45,4.7264,0.1145,0.10494,0.01,0.022204,12.20,8.35,122.04
0.28572,0.2612,43.693,170.85,0.43693,0.38625,0.01,0.0022608,8.58,11.60,77.39
0.21618,0.19091,33.841,15.424,0.33841,0.30903,0.01,0.020036,11.69,8.68,100.36
0.18752,0.16866,30.879,-64.269,0.30879,0.27047,0.01,-0.0042085,10.06,12.41,142.09
0.095337,0.092115,36.564,27.01,0.36564,0.32614,0.01,0.012075,3.38,10.80,20.75
0.23573,0.21251,40.146,32.356,0.40146,0.36251,0.01,0.011204,9.85,9.70,12.04
0.084768,0.076533,19.497,29.157,0.19497,0.1727,0.01,0.0059232,9.71,11.42,40.77
0.24653,0.22248,32.165,118.3,0.32165,0.2835,0.01,0.0023964,9.76,11.86,76.04
0.052254,0.048824,34.454,49.408,0.34454,0.30465,0.01,0.0061661,6.56,11.58,38.34
0.25388,0.22523,25.036,9.6617,0.25036,0.23015,0.01,0.023821,11.28,8.07,138.21
0.18426,0.16597,9.4447,23.997,0.094447,0.084844,0.01,0.0035356,9.93,10.17,64.64
0.017995,0.013227,45.005,52.719,0.45005,0.40709,0.01,0.0077217,26.50,9.55,22.78
0.10804,0.095058,9.5768,4.1773,0.095768,0.089089,0.01,0.021327,12.02,6.97,113.27
0.014735,0.014787,30.949,21.816,0.30949,0.28018,0.01,0.012843,0.35,9.47,28.43
0.12474,0.11273,32.24,27.914,0.3224,0.29188,0.01,0.010456,9.63,9.47,4.56
0.095399,0.089564,47.614,-55.084,0.47614,0.41284,0.01,-0.0074947,6.12,13.29,174.95
0.20658,0.18522,10.063,4.622,0.10063,0.092262,0.01,0.019962,10.34,8.32,99.62
0.17915,0.16011,24.302,19.139,0.24302,0.21826,0.01,0.011404,10.63,10.19,14.04
0.015991,0.015891,28.427,18.67,0.28427,0.25649,0.01,0.013738,0.63,9.77,37.38
0.14829,0.12955,20.761,14.995,0.20761,0.18744,0.01,0.012501,12.64,9.72,25.01
0.098439,0.089476,5.3795,-73.325,0.053795,0.046851,0.01,-0.00063895,9.11,12.91,106.39
0.11705,0.10489,32.288,14.605,0.32288,0.29427,0.01,0.020148,10.39,8.86,101.48
0.20872,0.18872,45.876,17.249,0.45876,0.42145,0.01,0.024433,9.58,8.13,144.33
0.018563,0.018213,21.368,13.922,0.21368,0.19263,0.01,0.013837,1.89,9.85,38.37
0.036749,0.03222,30.88,16.051,0.3088,0.28218,0.01,0.01758,12.32,8.62,75.80
0.03607,0.032982,17.389,-40.685,0.17389,0.15335,0.01,-0.0037691,8.56,11.81,137.69
0.025703,0.023931,26.252,33.806,0.26252,0.2343,0.01,0.0069306,6.89,10.75,30.69
0.12296,0.11298,35.695,21.348,0.35695,0.32362,0.01,0.015159,8.12,9.34,51.59
0.27223,0.24476,12.03,3.2245,0.1203,0.11452,0.01,0.035514,10.09,4.80,255.14
0.26871,0.23965,15.774,13.55,0.15774,0.14343,0.01,0.010585,10.81,9.07,5.85
0.28479,0.26254,46.283,49.779,0.46283,0.41245,0.01,0.0082856,7.81,10.89,17.14
0.26798,0.23902,6.7819,1.7745,0.067819,0.062417,0.01,0.035174,10.81,7.97,251.74
0.125,0.11172,9.5536,10.492,0.095536,0.086109,0.01,0.0082073,10.62,9.87,17.93
0.16275,0.15214,42.015,96.242,0.42015,0.37191,0.01,0.0038643,6.52,11.48,61.36
0.011564,0.0079442,33.333,11.459,0.33333,0.30895,0.01,0.026961,31.30,7.31,169.61
0.085173,0.075805,27.145,-66.433,0.27145,0.239,0.01,-0.0035975,11.00,11.95,135.98
0.12374,0.11502,47.19,36.683,0.4719,0.42714,0.01,0.011644,7.05,9.49,16.44
0.019467,0.01319,41.308,99.578,0.41308,0.36664,0.01,0.003682,32.24,11.24,63.18
0.15202,0.13748,20.521,26.341,0.20521,0.18161,0.01,0.0068947,9.56,11.50,31.05
0.2559,0.2305,21.111,-181.04,0.21111,0.18469,0.01,-0.0010201,9.93,12.51,110.20
0.028447,0.026182,10.365,12.22,0.10365,0.09261,0.01,0.0075783,7.96,10.65,24.22
0.27738,0.25018,25.938,-41.646,0.25938,0.22638,0.01,-0.0054359,9.81,12.72,154.36
0.22829,0.20637,43.679,21189,0.43679,0.38494,0.01,1.82E-05,9.60,11.87,99.82
0.16888,0.15152,7.9602,3.3795,0.079602,0.072817,0.01,0.021547,10.28,8.52,115.47
0.16773,0.15045,8.6135,2.5983,0.086135,0.081359,0.01,0.031313,10.30,5.54,213.13
0.29836,0.26855,23.185,12.324,0.23185,0.20956,0.01,0.017004,9.99,9.61,70.04
0.2991,0.27083,19.48,41.6,0.1948,0.17256,0.01,0.0041479,9.45,11.42,58.52
0.28545,0.2528,48.08,44.665,0.4808,0.42984,0.01,0.0096237,11.44,10.60,3.76
0.25967,0.23368,18.153,31.765,0.18153,0.16462,0.01,0.0051823,10.01,9.32,48.18
0.19573,0.17369,19.606,9.0811,0.19606,0.18088,0.01,0.019919,11.26,7.74,99.19
0.24806,0.22383,21.489,6.2723,0.21489,0.20109,0.01,0.03206,9.77,6.42,220.60
0.063635,0.06098,35.917,379.89,0.35917,0.31883,0.01,0.00083926,4.17,11.23,91.61
0.21199,0.19178,40.409,21.622,0.40409,0.36708,0.01,0.016977,9.53,9.16,69.77
0.10496,0.094416,9.9908,9.3096,0.099908,0.089262,0.01,0.0095882,10.05,10.66,4.12
0.2502,0.22664,7.5925,6.2868,0.075925,0.068659,0.01,0.010921,9.42,9.57,9.21
0.0327,0.02648,20.244,10.205,0.20244,0.18697,0.01,0.018321,19.02,7.64,83.21
0.26359,0.23828,32.21,48.783,0.3221,0.28696,0.01,0.0058823,9.60,10.91,41.18
0.20129,0.17915,11.457,4.2594,0.11457,0.10632,0.01,0.024961,11.00,7.20,149.61
0.10654,0.096154,19.231,9.0978,0.19231,0.17413,0.01,0.01914,9.75,9.45,91.40
0.11763,0.10871,21.519,7.6988,0.21519,0.19651,0.01,0.025525,7.58,8.68,155.25
0.29518,0.2657,32.846,13.959,0.32846,0.30094,0.01,0.021559,9.99,8.38,115.59
0.13585,0.12232,32.031,986.26,0.32031,0.28081,0.01,0.00028473,9.96,12.33,97.15
0.072526,0.066463,9.5286,7.4821,0.095286,0.084245,0.01,0.01126,8.36,11.59,12.60
0.19555,0.17892,18.81,-113.6,0.1881,0.16508,0.01,-0.0014532,8.50,12.24,114.53
0.10744,0.094644,23.782,11.035,0.23782,0.21809,0.01,0.019764,11.91,8.30,97.64
0.14096,0.1289,27.075,30.363,0.27075,0.24146,0.01,0.0079523,8.56,10.82,20.48
0.019895,0.021756,17.54,-63.537,0.1754,0.15265,0.01,-0.0024025,9.35,12.97,124.03
0.22331,0.19837,25.917,7.7705,0.25917,0.24009,0.01,0.030897,11.17,7.36,208.97
0.29869,0.26512,32.831,52.112,0.32831,0.2952,0.01,0.0056648,11.24,10.08,43.35
0.073107,0.068634,37.12,43.613,0.3712,0.33041,0.01,0.0075758,6.12,10.99,24.24
0.23159,0.2142,48.163,40.514,0.48163,0.43035,0.01,0.010622,7.51,10.65,6.22
0.17174,0.15586,23.373,19.151,0.23373,0.20863,0.01,0.010894,9.25,10.74,8.94
0.090238,0.080906,41.025,21.854,0.41025,0.37296,0.01,0.017066,10.34,9.09,70.66
0.065141,0.061656,20.76,17.512,0.2076,0.18645,0.01,0.010647,5.35,10.19,6.47
0.020837,0.024206,49.718,61.019,0.49718,0.44287,0.01,0.007258,16.17,10.92,27.42
0.032882,0.030454,37.47,25.911,0.3747,0.33591,0.01,0.012964,7.38,10.35,29.64
0.11205,0.10051,33.714,46.318,0.33714,0.30161,0.01,0.0065117,10.30,10.54,34.88
0.13301,0.12164,19.566,18.019,0.19566,0.17718,0.01,0.0098329,8.55,9.44,1.67
0.10314,0.093654,49.411,-1951.6,0.49411,0.4366,0.01,-0.00022371,9.20,11.64,102.24
0.12084,0.10847,16.628,6.2761,0.16628,0.15325,0.01,0.024417,10.24,7.84,144.17
0.28481,0.26209,31.658,21.07,0.31658,0.28243,0.01,0.013404,7.98,10.79,34.04
0.28087,0.25264,7.6372,6.3963,0.076372,0.06882,0.01,0.010759,10.05,9.89,7.59
0.070935,0.0642,34.156,48.837,0.34156,0.30531,0.01,0.0062517,9.49,10.61,37.48
0.274,0.24819,22.541,20.286,0.22541,0.20219,0.01,0.0099673,9.42,10.30,0.33
0.28733,0.26104,38.829,219.05,0.38829,0.34118,0.01,0.0015575,9.15,12.13,84.43
0.20568,0.18317,6.1468,8.5485,0.061468,0.055365,0.01,0.0064766,10.94,9.93,35.23
0.061701,0.05601,39.523,31.656,0.39523,0.3538,0.01,0.011177,9.22,10.48,11.77
0.0294,0.026401,6.0634,3.2978,0.060634,0.055508,0.01,0.016832,10.20,8.45,68.32
0.19899,0.18006,25.074,50.143,0.25074,0.22228,0.01,0.004433,9.51,11.35,55.67
0.040669,0.035116,17.417,9.2833,0.17417,0.15829,0.01,0.017051,13.65,9.12,70.51
0.16825,0.14987,39.172,17.217,0.39172,0.35982,0.01,0.020899,10.92,8.14,108.99
0.15464,0.13744,16.944,-398.61,0.16944,0.14973,0.01,-0.00037563,11.12,11.63,103.76
0.070305,0.066411,26.668,22.365,0.26668,0.23784,0.01,0.010634,5.54,10.81,6.34
0.14945,0.13356,6.4253,1.7773,0.064253,0.059655,0.01,0.033565,10.63,7.16,235.65
0.032239,0.031021,12.587,96.726,0.12587,0.11038,0.01,0.0011412,3.78,12.31,88.59
0.09091,0.084562,49.087,63.786,0.49087,0.43691,0.01,0.0068497,6.98,10.99,31.50
0.20348,0.18383,6.5957,5.1038,0.065957,0.059825,0.01,0.011722,9.66,9.30,17.22
0.27357,0.24506,25.441,11.253,0.25441,0.2326,0.01,0.020671,10.42,8.57,106.71
0.1751,0.15432,29.342,12.242,0.29342,0.26942,0.01,0.022007,11.87,8.18,120.07
0.28022,0.25587,13.456,6.277,0.13456,0.12366,0.01,0.0197,8.69,8.10,97.00
0.2112,0.1902,26.407,555.32,0.26407,0.23371,0.01,0.00042086,9.94,11.50,95.79
0.041298,0.036819,5.0039,7.1342,0.050039,0.044544,0.01,0.0062437,10.85,10.98,37.56
0.052856,0.046493,19.192,37.409,0.19192,0.16979,0.01,0.0045387,12.04,11.53,54.61
0.1955,0.178,18.694,27.293,0.18694,0.16597,0.01,0.006081,8.95,11.22,39.19
0.28806,0.25414,20.68,7.5067,0.2068,0.19056,0.01,0.025385,11.78,7.85,153.85
0.08153,0.071713,21.874,12.871,0.21874,0.19862,0.01,0.015432,12.04,9.20,54.32
0.1087,0.096607,12.671,4.8224,0.12671,0.11689,0.01,0.02424,11.13,7.75,142.40
0.17977,0.15991,30.589,15.489,0.30589,0.2773,0.01,0.017903,11.05,9.35,79.03
0.14493,0.13081,22.4,9.1334,0.224,0.20623,0.01,0.02258,9.74,7.93,125.80
0.29027,0.26516,32.153,40.249,0.32153,0.28685,0.01,0.0071267,8.65,10.79,28.73
0.10438,0.096192,46.527,55.571,0.46527,0.41829,0.01,0.0075271,7.84,10.10,24.73
0.042984,0.039274,23.422,32.435,0.23422,0.20884,0.01,0.0064388,8.63,10.84,35.61
0.15644,0.14249,22.729,27.931,0.22729,0.20272,0.01,0.0072578,8.92,10.81,27.42
0.19902,0.17726,17.895,8.1773,0.17895,0.16518,0.01,0.0202,10.93,7.69,102.00
0.0526,0.04719,28.169,9.3321,0.28169,0.25877,0.01,0.027729,10.29,8.14,177.29
0.28324,0.2529,18.46,19.899,0.1846,0.16562,0.01,0.0083233,10.71,10.28,16.77
0.19507,0.17703,46.813,22.043,0.46813,0.42766,0.01,0.019401,9.25,8.65,94.01
0.14801,0.13732,27.905,27.495,0.27905,0.24957,0.01,0.0090767,7.22,10.56,9.23
0.16699,0.15124,38.711,27.63,0.38711,0.35084,0.01,0.012698,9.43,9.37,26.98
0.084975,0.07696,25.286,29.033,0.25286,0.22543,0.01,0.0077645,9.43,10.85,22.36
0.031208,0.03035,20.661,40.28,0.20661,0.18427,0.01,0.0045747,2.75,10.81,54.25
0.26997,0.24524,25.944,15.062,0.25944,0.23533,0.01,0.015625,9.16,9.29,56.25
0.027439,0.025609,10.402,19.058,0.10402,0.09265,0.01,0.0048614,6.67,10.93,51.39
0.13078,0.11748,39.577,42.827,0.39577,0.35363,0.01,0.0082572,10.17,10.65,17.43
0.14323,0.13141,37.871,-46.086,0.37871,0.33066,0.01,-0.0071748,8.25,12.69,171.75
0.28985,0.25849,27.74,28.135,0.2774,0.24985,0.01,0.0088807,10.82,9.93,11.19
