True Vp,Est Vp,True Ve,Est Ve,True Ktrans,Est Ktrans,True Kep,Est Kep,Vp %Err,Ktrans %Err,Kep %Err
0.10482,0.092999,14.123,14.059,0.14123,0.12648,0.01,0.0089959,11.28,10.44,10.04
0.049444,0.044419,44.694,42.999,0.44694,0.39907,0.01,0.0092807,10.16,10.71,7.19
0.14577,0.13593,38.637,38.43,0.38637,0.34344,0.01,0.0089368,6.75,11.11,10.63
0.20672,0.19221,28.995,37.493,0.28995,0.25541,0.01,0.0068122,7.02,11.91,31.88
0.12215,0.11137,26.806,28.493,0.26806,0.23809,0.01,0.0083561,8.83,11.18,16.44
0.19018,0.17071,18.785,15.849,0.18785,0.16933,0.01,0.010684,10.24,9.86,6.84
0.016191,0.017036,37.493,46.591,0.37493,0.33318,0.01,0.0071513,5.22,11.14,28.49
0.12303,0.11091,18.453,18.678,0.18453,0.16516,0.01,0.0088421,9.85,10.50,11.58
0.048429,0.044494,11.45,8.2673,0.1145,0.1033,0.01,0.012494,8.13,9.78,24.94
0.28572,0.26732,43.693,37.482,0.43693,0.39004,0.01,0.010406,6.44,10.73,4.06
0.21618,0.1993,33.841,32.749,0.33841,0.30244,0.01,0.009235,7.81,10.63,7.65
0.18752,0.16707,30.879,25.412,0.30879,0.27841,0.01,0.010956,10.91,9.84,9.56
0.095337,0.085437,36.564,35.28,0.36564,0.3276,0.01,0.0092855,10.38,10.40,7.15
0.23573,0.20397,40.146,37.906,0.40146,0.36059,0.01,0.0095127,13.47,10.18,4.87
0.084768,0.073015,19.497,15.255,0.19497,0.17708,0.01,0.011608,13.86,9.18,16.08
0.24653,0.2235,32.165,28.203,0.32165,0.28895,0.01,0.010245,9.34,10.17,2.45
0.052254,0.045566,34.454,40.654,0.34454,0.30725,0.01,0.0075575,12.80,10.82,24.43
0.25388,0.23294,25.036,36.15,0.25036,0.22114,0.01,0.0061174,8.25,11.67,38.83
0.18426,0.16504,9.4447,8.6892,0.094447,0.084781,0.01,0.0097571,10.43,10.23,2.43
0.017995,0.017228,45.005,40.16,0.45005,0.40381,0.01,0.010055,4.26,10.27,0.55
0.10804,0.094478,9.5768,6.5725,0.095768,0.087043,0.01,0.013244,12.55,9.11,32.44
0.014735,0.0092603,30.949,23.354,0.30949,0.2813,0.01,0.012045,37.15,9.11,20.45
0.12474,0.10739,32.24,25.537,0.3224,0.293,0.01,0.011474,13.91,9.12,14.74
0.095399,0.083155,47.614,40.425,0.47614,0.42924,0.01,0.010618,12.83,9.85,6.18
0.20658,0.18535,10.063,9.0602,0.10063,0.090407,0.01,0.0099785,10.28,10.16,0.22
0.17915,0.15614,24.302,19.909,0.24302,0.21935,0.01,0.011018,12.84,9.74,10.18
0.015991,0.016117,28.427,27.235,0.28427,0.25469,0.01,0.0093515,0.79,10.41,6.49
