True Vp,Est Vp,True Ve,Est Ve,True Ktrans,Est Ktrans,True Kep,Est Kep,Vp %Err,Ktrans %Err,Kep %Err
0.10482,0.093268,14.123,12.577,0.14123,0.12713,0.01,0.010108,11,9.67,5.23
0.049444,0.039276,44.694,40.094,0.44694,0.40108,0.01,0.010004,1.68,10.69,3.84
0.14577,0.13918,38.637,34.523,0.38637,0.34749,0.01,0.010065,5.23,10.38,0.01
0.20672,0.18423,28.995,25.866,0.28995,0.26134,0.01,0.010104,8.23,10.35,0.44
0.12215,0.10885,26.806,23.762,0.26806,0.24092,0.01,0.010139,15.6,10.25,0.19
0.19018,0.16876,18.785,16.858,0.18785,0.16857,0.01,0.009999,9.84,10.06,2.51
0.016191,0.012776,37.493,33.393,0.37493,0.33754,0.01,0.010108,4.08,10.07,0.72
0.12303,0.11134,18.453,16.539,0.18453,0.16545,0.01,0.010004,8.91,10.53,2.22
0.048429,0.043285,11.45,10.153,0.1145,0.10307,0.01,0.010152,5.41,10.41,0.74
0.28572,0.26025,43.693,39.178,0.43693,0.39271,0.01,0.010024,10.03,10.51,1.92
0.21618,0.19197,33.841,30.352,0.33841,0.30375,0.01,0.010008,9.14,10.51,3.04
0.18752,0.16191,30.879,27.587,0.30879,0.27815,0.01,0.010083,7.75,10.63,3.18
0.095337,0.091311,36.564,32.933,0.36564,0.32819,0.01,0.0099654,7.97,9.91,1.69
0.23573,0.20995,40.146,35.705,0.40146,0.36103,0.01,0.010111,7.75,10.64,4.52
0.084768,0.076265,19.497,17.42,0.19497,0.17564,0.01,0.010082,11.94,10.38,0.83
0.24653,0.21996,32.165,28.86,0.32165,0.28919,0.01,0.010021,9.7,10.34,1.84
0.052254,0.051231,34.454,30.778,0.34454,0.3094,0.01,0.010053,15.19,9.62,3.65
0.25388,0.23144,25.036,22.482,0.25036,0.22488,0.01,0.010003,11,9.93,0.88
0.18426,0.16502,9.4447,8.423,0.094447,0.084916,0.01,0.010081,10.46,10.26,1.24
0.017995,0.023543,45.005,40.077,0.45005,0.40431,0.01,0.010088,65.48,9.85,1.86
0.10804,0.098057,9.5768,8.5457,0.095768,0.086115,0.01,0.010077,8.88,10.24,0.19
0.014735,0.014952,30.949,27.592,0.30949,0.27802,0.01,0.010076,24.21,10.26,0.09
0.12474,0.1141,32.24,28.887,0.3224,0.28941,0.01,0.010019,6.54,10.45,0.72
0.095399,0.087627,47.614,42.493,0.47614,0.42759,0.01,0.010063,7.15,10.05,3.13
0.20658,0.18505,10.063,8.9699,0.10063,0.090402,0.01,0.010078,11.95,9.66,1.9
0.17915,0.16399,24.302,21.76,0.24302,0.21834,0.01,0.010034,8.94,9.93,1.07
0.015991,0.016636,28.427,25.468,0.28427,0.25564,0.01,0.010038,6.11,10.85,3.61
0.14829,0.13757,20.761,18.632,0.20761,0.18645,0.01,0.010007,15.89,10.15,0.54
0.098439,0.088875,5.3795,4.8198,0.053795,0.048261,0.01,0.010013,10.27,10.05,0.92
0.11705,0.10321,32.288,28.787,0.32288,0.29034,0.01,0.010086,6.72,9.75,1.27
0.20872,0.18581,45.876,41.249,0.45876,0.41162,0.01,0.0099789,15.82,10.01,1.06
0.018563,0.015397,21.368,19.234,0.21368,0.19197,0.01,0.0099809,10.55,10.33,1.53
0.036749,0.032862,30.88,27.593,0.3088,0.27813,0.01,0.01008,12.17,10.17,1.28
0.03607,0.032568,17.389,15.541,0.17389,0.15629,0.01,0.010056,10.22,10.08,0.13
0.025703,0.02762,26.252,23.528,0.26252,0.23554,0.01,0.010011,15.99,10.29,1.88
0.12296,0.11068,35.695,32.075,0.35695,0.32095,0.01,0.010007,12.04,9.87,2.11
0.27223,0.24282,12.03,10.818,0.1203,0.10827,0.01,0.010009,10.87,9.55,4.97
0.26871,0.2422,15.774,14.041,0.15774,0.14194,0.01,0.010109,8.47,10.01,0.42
0.28479,0.25475,46.283,41.161,0.46283,0.4172,0.01,0.010136,10.88,10.13,0.62
0.26798,0.23917,6.7819,6.0873,0.067819,0.061005,0.01,0.010022,10.19,9.73,5.3
0.125,0.11379,9.5536,8.508,0.095536,0.085987,0.01,0.010107,10.41,10.44,2.05
0.16275,0.14175,42.015,37.197,0.42015,0.37792,0.01,0.01016,5.76,10.3,0.76
0.011564,0.0045155,33.333,29.741,0.33333,0.30038,0.01,0.0101,15.53,10.37,2.86
0.085173,0.078785,27.145,24.402,0.27145,0.24331,0.01,0.0099709,4.09,10.44,2.93
0.12374,0.11764,47.19,42.323,0.4719,0.42361,0.01,0.010009,3.99,10.4,0.23
0.019467,0.017178,41.308,36.786,0.41308,0.37069,0.01,0.010077,1.02,10.56,3.85
0.15202,0.13799,20.521,18.372,0.20521,0.18487,0.01,0.010062,9.43,10.23,0.09
0.2559,0.23034,21.111,18.803,0.21111,0.19016,0.01,0.010113,10.63,10.08,0.22
0.028447,0.024232,10.365,9.2413,0.10365,0.093163,0.01,0.010081,10.12,10.31,0.67
0.27738,0.24625,25.938,23.127,0.25938,0.23329,0.01,0.010087,9.71,10.04,0.42
0.22829,0.2001,43.679,39.183,0.43679,0.39316,0.01,0.010034,10.4,10.49,0.89
0.16888,0.15122,7.9602,7.1311,0.079602,0.07128,0.01,0.0099956,10.87,10.11,1.06
0.16773,0.1493,8.6135,7.7137,0.086135,0.077143,0.01,0.010001,10.12,10.16,0.51
0.29836,0.26798,23.185,20.706,0.23185,0.20875,0.01,0.010082,11.07,9.95,0.2
0.2991,0.26991,19.48,17.476,0.1948,0.17509,0.01,0.010019,9.94,9.68,4.17
0.28545,0.26099,48.08,43.027,0.4808,0.43189,0.01,0.010038,12.53,9.89,2.3
0.25967,0.23471,18.153,16.179,0.18153,0.16348,0.01,0.010105,10.83,9.81,1.97
0.19573,0.17635,19.606,17.666,0.19606,0.17558,0.01,0.0099389,10.83,10.35,0.55
0.24806,0.22357,21.489,18.998,0.21489,0.19324,0.01,0.010172,9.61,10.46,1.51
0.063635,0.052873,35.917,32.025,0.35917,0.32244,0.01,0.010068,0.71,10.17,0.43
0.21199,0.19414,40.409,36.258,0.40409,0.36276,0.01,0.010005,10.75,10.02,0.85
0.10496,0.095596,9.9908,8.9977,0.099908,0.089532,0.01,0.0099506,8.9,10.45,1.05
0.2502,0.2248,7.5925,6.7997,0.075925,0.068278,0.01,0.010041,9.98,10.19,1.19
0.0327,0.029467,20.244,18.089,0.20244,0.18217,0.01,0.010071,14.19,10.99,5.12
0.26359,0.2374,32.21,28.605,0.3221,0.29012,0.01,0.010142,9.79,9.93,0.4
0.20129,0.18067,11.457,10.15,0.11457,0.10324,0.01,0.010172,9.43,10.12,0.34
0.10654,0.095307,19.231,17.165,0.19231,0.17292,0.01,0.010074,13.16,10.03,1.39
0.11763,0.10329,21.519,19.241,0.21519,0.19321,0.01,0.010042,7.43,10.36,1.4
0.29518,0.25993,32.846,29.241,0.32846,0.29515,0.01,0.010094,10.58,9.83,3.72
0.13585,0.12574,32.031,28.683,0.32031,0.28792,0.01,0.010038,8.05,10.43,3.81
0.072526,0.06456,9.5286,8.5773,0.095286,0.085651,0.01,0.0099857,7.9,9.86,3.37
0.19555,0.17566,18.81,16.71,0.1881,0.16922,0.01,0.010126,9.69,10.32,0.08
0.10744,0.095931,23.782,21.319,0.23782,0.21339,0.01,0.01001,9.09,10.27,0.33
0.14096,0.12882,27.075,24.221,0.27075,0.24379,0.01,0.010065,10.83,10.15,0.5
0.019895,0.01518,17.54,15.685,0.1754,0.15767,0.01,0.010053,15.06,10.71,3.68
0.22331,0.20266,25.917,23.216,0.25917,0.23317,0.01,0.010044,9.69,10.35,0.47
0.29869,0.26284,32.831,28.95,0.32831,0.29627,0.01,0.010234,10.73,10.02,1.05
0.073107,0.068277,37.12,33.323,0.3712,0.33378,0.01,0.010017,4.34,10.41,0.44
0.23159,0.20334,48.163,43.138,0.48163,0.43231,0.01,0.010022,12.95,9.7,2.68
0.17174,0.15574,23.373,20.907,0.23373,0.20983,0.01,0.010036,8.1,10.46,2.26
0.090238,0.085784,41.025,36.495,0.41025,0.36885,0.01,0.010107,7.93,9.66,3.96
0.065141,0.056501,20.76,18.527,0.2076,0.18656,0.01,0.010069,4.07,10.18,0.64
0.020837,0.021048,49.718,44.764,0.49718,0.44649,0.01,0.0099744,18.38,10.48,1.01
0.032882,0.022054,37.47,33.502,0.3747,0.33729,0.01,0.010068,30.02,10.12,2.92
0.11205,0.095031,33.714,29.995,0.33714,0.30315,0.01,0.010106,14.46,9.92,1.47
0.13301,0.11946,19.566,17.476,0.19566,0.17612,0.01,0.010078,11.47,10.55,3.19
0.10314,0.088613,49.411,44.315,0.49411,0.44416,0.01,0.010023,5.47,10.3,0.52
0.12084,0.10612,16.628,14.718,0.16628,0.14988,0.01,0.010184,8.16,10.36,1.12
0.28481,0.24772,31.658,28.106,0.31658,0.28506,0.01,0.010142,7.64,10.31,1.32
0.28087,0.25117,7.6372,6.8236,0.076372,0.068724,0.01,0.010072,9.6,10.42,0.91
