True Vp,Est Vp,True Ve,Est Ve,True Ktrans,Est Ktrans,True Kep,Est Kep,Vp %Err,Ktrans %Err,Kep %Err
0.28545,0.24969,48.08,42.348,0.4808,0.43323,0.01,0.01023,12.53,9.89,2.30
0.25967,0.23155,18.153,16.057,0.18153,0.16373,0.01,0.010197,10.83,9.81,1.97
0.19573,0.17453,19.606,17.481,0.19606,0.17577,0.01,0.010055,10.83,10.35,0.55
0.24806,0.22422,21.489,19.535,0.21489,0.19241,0.01,0.0098494,9.61,10.46,1.51
0.063635,0.064084,35.917,32.127,0.35917,0.32265,0.01,0.010043,0.71,10.17,0.43
0.21199,0.18921,40.409,36.056,0.40409,0.36362,0.01,0.010085,10.75,10.02,0.85
0.10496,0.095615,9.9908,9.0413,0.099908,0.089468,0.01,0.0098955,8.90,10.45,1.05
0.2502,0.22524,7.5925,6.9013,0.075925,0.06819,0.01,0.0098807,9.98,10.19,1.19
0.0327,0.03734,20.244,18.991,0.20244,0.18019,0.01,0.0094885,14.19,10.99,5.12
0.26359,0.23778,32.21,28.897,0.3221,0.29013,0.01,0.01004,9.79,9.93,0.40
0.20129,0.18231,11.457,10.262,0.11457,0.10297,0.01,0.010034,9.43,10.12,0.34
0.10654,0.09252,19.231,17.065,0.19231,0.17302,0.01,0.010139,13.16,10.03,1.39
0.11763,0.10889,21.519,19.564,0.21519,0.19289,0.01,0.0098596,7.43,10.36,1.40
0.29518,0.26396,32.846,28.556,0.32846,0.29618,0.01,0.010372,10.58,9.83,3.72
0.13585,0.12492,32.031,29.825,0.32031,0.28689,0.01,0.0096189,8.05,10.43,3.81
0.072526,0.066799,9.5286,8.3087,0.095286,0.085891,0.01,0.010337,7.90,9.86,3.37
0.19555,0.1766,18.81,16.856,0.1881,0.16869,0.01,0.010008,9.69,10.32,0.08
0.10744,0.097672,23.782,21.269,0.23782,0.2134,0.01,0.010033,9.09,10.27,0.33
0.14096,0.1257,27.075,24.205,0.27075,0.24327,0.01,0.01005,10.83,10.15,0.50
0.019895,0.016899,17.54,16.26,0.1754,0.15661,0.01,0.009632,15.06,10.71,3.68
0.22331,0.20167,25.917,23.344,0.25917,0.23235,0.01,0.0099531,9.69,10.35,0.47
0.29869,0.26663,32.831,29.234,0.32831,0.29541,0.01,0.010105,10.73,10.02,1.05
0.073107,0.069931,37.12,33.402,0.3712,0.33256,0.01,0.0099562,4.34,10.41,0.44
0.23159,0.20161,48.163,42.358,0.48163,0.43493,0.01,0.010268,12.95,9.70,2.68
0.17174,0.15783,23.373,21.412,0.23373,0.20929,0.01,0.0097742,8.10,10.46,2.26
0.090238,0.083083,41.025,35.649,0.41025,0.37061,0.01,0.010396,7.93,9.66,3.96
0.065141,0.062493,20.76,18.767,0.2076,0.18647,0.01,0.009936,4.07,10.18,0.64
0.020837,0.017008,49.718,44.964,0.49718,0.44509,0.01,0.0098987,18.38,10.48,1.01
0.032882,0.023012,37.47,32.723,0.3747,0.33677,0.01,0.010292,30.02,10.12,2.92
0.11205,0.095848,33.714,29.928,0.33714,0.30369,0.01,0.010147,14.46,9.92,1.47
0.13301,0.11776,19.566,18.078,0.19566,0.17502,0.01,0.0096813,11.47,10.55,3.19
0.10314,0.097497,49.411,44.094,0.49411,0.44321,0.01,0.010052,5.47,10.30,0.52
0.12084,0.11098,16.628,15.074,0.16628,0.14906,0.01,0.0098882,8.16,10.36,1.12
0.28481,0.26306,31.658,28.773,0.31658,0.28393,0.01,0.0098682,7.64,10.31,1.32
0.28087,0.25391,7.6372,6.9043,0.076372,0.068415,0.01,0.009909,9.60,10.42,0.91
0.070935,0.066987,34.156,32.195,0.34156,0.30536,0.01,0.0094847,5.57,10.60,5.15
0.274,0.24905,22.541,20.521,0.22541,0.20187,0.01,0.0098373,9.11,10.44,1.63
0.28733,0.25228,38.829,34.209,0.38829,0.34954,0.01,0.010218,12.20,9.98,2.18
0.20568,0.18526,6.1468,5.6905,0.061468,0.055048,0.01,0.0096736,9.93,10.44,3.26
0.061701,0.052514,39.523,36.01,0.39523,0.35424,0.01,0.0098374,14.89,10.37,1.63
0.0294,0.025546,6.0634,5.4091,0.060634,0.054689,0.01,0.010111,13.11,9.80,1.11
0.19899,0.18008,25.074,22.046,0.25074,0.22581,0.01,0.010243,9.50,9.94,2.43
0.040669,0.035681,17.417,15.452,0.17417,0.15676,0.01,0.010145,12.26,10.00,1.45
