BATfinal,VpFinal,KtransFinal,Kepfinal,VeFinal,RSSFinal,RSS0,RSS1,RSS2,RSS3,F1v0,F2v1,F3v2,BAT1,Vp1,BAT2,Vp2,Ktrans2,BAT3,Vp3,Ktrans3,Kep3,Ve3,WhichModel,TProb1,TProb2,TProb3,TProbFinal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.00091383,0.00064695,0.24795,0.0026092,8.7424e-08,1.3435e-05,1.3768e-06,8.4641e-07,8.7424e-08,1,1,1,2,0.0020909,2,0.0018165,7.8995e-05,3,0.00091383,0.00064695,0.24795,0.0026092,4,0.62237,0.58002,NaN,NaN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTCs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.095881,0.19176,0.28764,0.38352,0.4794,0.57528,0.67117,0.76705,0.86293,0.95881,1.0547,1.1506,1.2465,1.3423,1.4382,1.5341,1.63,1.7259,1.8217,1.9176,2.0135,2.1094,2.2053,2.3011,2.397,2.4929,2.5888,2.6847,2.7805,2.8764,2.9723,3.0682,3.1641,3.2599,3.3558,3.4517,3.5476,3.6435,3.7394,3.8352,3.9311,4.027,4.1229,4.2188,4.3146,4.4105,4.5064,4.6023,4.6982,4.794,4.8899,4.9858,5.0817,5.1776,5.2734,5.3693,5.4652,5.5611,5.657,6.8667,14.7,19.75,24.7333,31.2333,36.7
1.7194e-05,-3.4248e-05,5.9751e-06,2.6183e-05,-1.1933e-05,-2.9854e-06,5.9751e-06,3.969e-05,0.00030191,0.00037035,0.00025979,0.00031366,0.00032543,0.00037272,0.00035376,0.00040365,0.00037747,0.00034194,0.00040603,0.00043232,0.0004108,0.00037035,0.00036323,0.00045392,0.00046594,0.00042993,0.00046113,0.00044671,0.00043232,0.00046594,0.00050942,0.00046113,0.0004804,0.00048764,0.00046113,0.00049248,0.00050942,0.00053126,0.00051912,0.00052397,0.00053126,0.00056295,0.00054343,0.00053126,0.00049731,0.00050942,0.0005264,0.00053856,0.00054343,0.00051669,0.00052155,0.00055074,0.00059724,0.0005575,0.00052397,0.00055806,0.00057273,0.0005264,0.00057273,0.0005264,0.00055074,0.0005605,0.00058988,0.00057273,0.00046353,0.00043472
